WBS ID,Phase,Task Name,Description,Estimated Effort,Status,Notes,Next Action
7R,Writer validation,Validate generated release contents,"Review generated release contents for source alignment, exclusions, caveats, unsupported claims, and product confirmation needs.",1 hour,Complete,"Release contents validation notes created (release-contents-validation-notes.md). Generated release contents accepted as the working source for draft release notes and KB planning, with caveats recorded.",Run P-004 to draft release notes from generated release contents.
6.2R,AI processing outputs,Run P-004 to draft release notes from generated release contents,Test whether draft release notes can be generated using only the generated/validated release contents table.,45 mins,Complete,"Draft release notes generated from generated release contents only, proving the simplified workflow works without extracted-changes or grouped-release-items files. (draft-release-notes.md)",Run P-003 to create KB update plan.
6.3R,AI processing outputs,Run P-003 to create KB update plan,Create a draft KB update plan from the generated/validated release contents table.,45 mins,Complete,Draft KB update plan generated from generated release contents only.,"Run P-005 to validate generated release contents, draft release notes, and KB update plan against original source inputs."
6.4R,AI processing outputs,Run P-005 to validate documentation outputs,"Validate generated release contents, draft release notes, and KB update plan against original source inputs.",1 hour,Complete,"Key responsible AI validation step. Validation findings generated for release contents, draft release notes, and KB update plan against original source inputs.",Edit draft release notes into final version.
7.2R,Writer validation,Edit draft release notes into final version,Apply validation findings and writer judgement to create final release notes.,1.5–2 hours,Complete,Editing draft release notes using validation findings and writer judgement.,Create final-release-notes.md.
7.3R,Writer validation,Create validated KB update plan,Review draft KB plan and create final writer-approved KB update plan.,1 hour,Complete,"Validated KB update plan created after reviewing draft KB plan, generated release contents, and validation findings.",Create validated-kb-update-plan.md.
7.4R,Writer validation,Update writer validation checklist,Adjust checklist to include release contents validation as well as draft release notes and KB plan validation.,30 mins,Complete,"Writer validation checklist updated to reflect the revised workflow, including generated release contents, draft release notes, KB update plan, and final approval.",Create revised documentation package.
8R,Publishing package,Create revised documentation package,"Organise source inputs, AI outputs, validation notes, final outputs, prompts, and case study in the new folder structure.",1 hour,Complete,"Revised project package organised around the simplified workflow: messy source inputs, generated release contents, writer validation, draft outputs, validation findings, and final documentation.",Update README for revised workflow.
8.1R,Publishing package,Update README for revised workflow,Rewrite README to describe the revised release documentation triage workflow.,1 hour,Complete,"README updated to describe the revised release documentation triage workflow, including generated release contents, writer validation, final outputs, and repo structure.",Write new case study.
8.2R,Publishing package,Export project tracker tabs for GitHub viewing,"Export key workbook tabs as Markdown or CSV so reviewers can inspect the project overview, WBS, decision log, prompt log, prompt run log, and validation log without opening Excel.",45 mins,Complete,"The Excel workbook remains the source tracker, but exported files make the project management evidence easier to view in GitHub.",Update README links to project management artefacts.
9R,Case study,Write new case study,"Write fresh case study based on revised workflow, without relying on baseline workflow.",2–3 hours,Complete,"New case study draft created for the revised workflow. Review for clarity, links, and consistency.",Add reflection on worfklow simplification.
9.1R,Case study,Add updated workflow section,"Add revised workflow diagram, sequence diagram, and workflow stages table.",45 mins,Draft complete,Diagrams drafted.,Add to case study.
9.2R,Case study,Add estimated time impact section,Add revised time impact table for simplified workflow.,30 mins,Draft complete,Updated section drafted.,Add to case study.
9.3R,Case study,Add reflection on workflow simplification,Explain that generated release contents replaced separate extract/group steps.,45 mins,Complete,Reflection added explaining that generated release contents became the central source for drafting release notes and KB updates.,Prepare local repo for upload.
10R,GitHub publication,Prepare local repo for upload,"Check revised folder structure, Markdown rendering, file names, diagrams, and links.",1 hour,Complete,"Checking revised folder structure, Markdown rendering, file names, Mermaid diagrams, links, and consistency before creating the GitHub repository.",Create GitHub repository.
10.2R,GitHub publication,Create GitHub repository,Create/push revised project repo.,45 mins,Complete,Creating GitHub repository and uploading revised project files.,Enable GitHub Pages or review repo on GitHub.
10.3R,GitHub publication,Enable GitHub Pages,Configure GitHub Pages if needed.,45 mins,Complete,"Pages was enabled, but GitHub repository view was chosen as the main portfolio link because it renders Mermaid diagrams correctly and better exposes the project structure.",Review GitHub repo view.
10.4R,GitHub publication,Review GitHub repo view,"Check links, formatting, readability, and diagrams after publishing.",1 hour,Complete,"Reviewing the GitHub repository as the main project link, including README, case study, diagrams, links, file structure, and final outputs. Findings added to Validation Log tab.",Fix issues found if applicable
10.5R,GitHub publication,Fix issues from GitHub repo review,"Resolve formatting, link, diagram, wording, or file-structure issues found during the GitHub repo review.",1 hour,Complete,GitHub repo review issues resolved and changes pushed.,Map project to job capabilities.
11R,Portfolio positioning,Map project to job capabilities,"Map revised project to high-velocity updates, AI workflow design, release triage, KB maintenance, and validation.",1 hour,Complete,"Capability map created to connect the project evidence to release documentation, AI workflow design, KB planning, validation, docs-as-code awareness, and project management skills.",Write short portfolio summary.
11.1R,Portfolio positioning,Write short portfolio summary,"Write short description for portfolio, LinkedIn, or job applications.",45 mins,Complete,"Short project summary written for portfolio, GitHub README, or job application use.",Conduct final quality review.
12R,Final review,Conduct final quality review,"Check that evidence supports claims, workflow is coherent, files are consistent, and case study is clear.",1.5 hours,Complete,"Reviewing the GitHub repo, case study, README, links, diagrams, final outputs, and project management artefacts before treating the project as portfolio-ready.",Complete project.
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
